algorithm,num_agents,num_items,distribution,min_value,sum_value,execution_time
RoundRobin,10,100,normal,395.0,4844.0,0.0020182132720947266
Sequential,10,100,normal,83.0,944.0,0.0
Markakis&Psomas,10,100,normal,458.0,7342.0,0.015636682510375977
RoundRobin,10,100,normal,444.0,5330.0,0.0
Sequential,10,100,normal,90.0,997.0,0.0012819766998291016
Markakis&Psomas,10,100,exponential,179.0,6033.0,0.015841960906982422
RoundRobin,10,100,exponential,226.0,2914.0,0.0
Sequential,10,100,exponential,108.0,1587.0,0.0
Markakis&Psomas,10,100,exponential,165.0,6198.0,0.016292810440063477
RoundRobin,10,100,exponential,167.0,2875.0,0.0
Sequential,10,100,exponential,96.0,1633.0,0.0
Markakis&Psomas,10,100,exponential,205.0,6009.0,0.019218921661376953
RoundRobin,10,100,exponential,180.0,3451.0,0.0
Sequential,10,100,exponential,110.0,1565.0,0.0
Markakis&Psomas,10,100,exponential,149.0,5448.0,0.01465153694152832
RoundRobin,10,100,exponential,168.0,3217.0,0.0
Sequential,10,100,exponential,104.0,1388.0,0.0
Markakis&Psomas,10,100,exponential,168.0,5827.0,0.014264583587646484
RoundRobin,10,100,exponential,207.0,2897.0,0.0
Sequential,10,100,exponential,98.0,1398.0,0.0
Markakis&Psomas,10,200,uniform,869.0,15981.0,0.02239203453063965
RoundRobin,10,200,uniform,964.0,11180.0,0.0
Sequential,10,200,uniform,99.0,990.0,0.0030896663665771484
Markakis&Psomas,10,200,uniform,967.0,15782.0,0.020758628845214844
RoundRobin,10,200,uniform,784.0,9817.0,0.0
Sequential,10,200,uniform,98.0,988.0,0.0
Markakis&Psomas,10,200,uniform,867.0,15974.0,0.020151376724243164
RoundRobin,10,200,uniform,851.0,9917.0,0.0
Sequential,10,200,uniform,98.0,987.0,0.0047817230224609375
Markakis&Psomas,10,200,uniform,871.0,16061.0,0.023692607879638672
RoundRobin,10,200,uniform,782.0,9773.0,0.0
Sequential,10,200,uniform,99.0,990.0,0.0015518665313720703
Markakis&Psomas,10,200,uniform,836.0,15999.0,0.02118825912475586
RoundRobin,10,200,uniform,859.0,10229.0,0.0
Sequential,10,200,uniform,97.0,988.0,0.0052564144134521484
Markakis&Psomas,10,200,normal,909.0,14452.0,0.020704984664916992
RoundRobin,10,200,normal,819.0,9952.0,0.0
Sequential,10,200,normal,96.0,1040.0,0.004034280776977539
Markakis&Psomas,10,200,normal,971.0,14721.0,0.021410465240478516
RoundRobin,10,200,normal,919.0,9941.0,0.0
Sequential,10,200,normal,89.0,1021.0,0.0
Markakis&Psomas,10,200,normal,891.0,14686.0,0.027515649795532227
RoundRobin,10,200,normal,906.0,9753.0,0.00039696693420410156
Sequential,10,200,normal,95.0,1066.0,0.0
Markakis&Psomas,10,200,normal,919.0,14767.0,0.030917882919311523
RoundRobin,10,200,normal,953.0,10290.0,0.0
Sequential,10,200,normal,94.0,1024.0,0.0
Markakis&Psomas,10,200,normal,930.0,14586.0,0.025681495666503906
RoundRobin,10,200,normal,795.0,9633.0,0.0
Sequential,10,200,normal,92.0,1026.0,0.0013377666473388672
Markakis&Psomas,10,200,exponential,506.0,12740.0,0.02466750144958496
RoundRobin,10,200,exponential,393.0,5734.0,0.0
Sequential,10,200,exponential,143.0,1666.0,0.0
Markakis&Psomas,10,200,exponential,554.0,12374.0,0.030901432037353516
RoundRobin,10,200,exponential,504.0,6291.0,0.0
Sequential,10,200,exponential,113.0,1422.0,0.002384185791015625
Markakis&Psomas,10,200,exponential,535.0,12392.0,0.02381420135498047
RoundRobin,10,200,exponential,449.0,5440.0,0.0
