num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",TTC_function,2,,95.10672393,81.63771712,7.386363636,0.13240605,0,0.0,100,100,100,0.0514726
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",TTC_function,3,,94.33007728,84.69135802,3.562945368,0.053560255,0,0.0,100,100,100,0.0571907
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",TTC_function,4,,94.4939283,77.35368957,11.75213675,0.291589152,0,0.0,100,100,100,0.0553702
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",SP_function,0,,94.02340355,78.49462366,12.33183857,0.150013912,0,0.0,100,100,100,0.0573564
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",SP_function,1,,94.41804732,85.17034068,2.976190476,0.029761905,0,0.0,100,100,100,0.0748875
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",SP_function,2,,94.63141693,81.86666667,7.386363636,0.115402798,0,0.0,100,100,100,0.071057
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",SP_function,3,,94.11018457,83.00835655,4.134366925,0.057133143,0,0.0,100,100,100,0.0595349
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",SP_function,4,,94.1448341,77.35368957,4.834605598,0.20400194,0,0.0,100,100,100,0.0583495
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,87.6427703,75.50607287,7.356321839,0.073563218,0,0.0,100,100,100,0.509098
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,87.90293904,74.291939,0.0,0.0,0,0.0,100,100,100,0.4084178
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,88.36255792,76.90677966,2.083333333,0.020833333,0,0.0,100,100,100,0.471253
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,87.41903379,77.4049217,1.960784314,0.019607843,0,0.0,100,100,100,0.7134147
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,87.87196875,75.93360996,1.19760479,0.011976048,0,0.0,100,100,100,0.6622628
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,87.6427703,75.50607287,7.356321839,0.073563218,0,0.0,100,100,100,0.5282988
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,87.90293904,74.291939,0.0,0.0,0,0.0,100,100,100,0.457897
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,88.36255792,76.90677966,2.083333333,0.020833333,0,0.0,100,100,100,0.537689
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,87.41903379,77.4049217,1.960784314,0.019607843,0,0.0,100,100,100,0.4100098
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,,87.87196875,75.93360996,1.19760479,0.011976048,0,0.0,100,100,100,0.4408337
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",TTC_function,0,,87.48326357,75.50607287,1.704545455,0.032266937,0,0.0,100,100,100,0.0587915
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",TTC_function,1,,87.88403328,74.07407407,3.65535248,0.063291493,0,0.0,100,100,100,0.0580201
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",TTC_function,2,,88.3568668,76.90677966,7.638888889,0.221527629,0,0.0,100,100,100,0.044605
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",TTC_function,3,,87.26930763,78.48410758,5.191873589,0.242311529,0,0.0,100,100,100,0.0663972
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",TTC_function,4,,87.78075718,75.93360996,3.293413174,0.083164099,0,0.0,100,100,100,0.0574007
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",SP_function,0,,87.18324421,70.70217918,10.22727273,0.13854708,0,0.0,100,100,100,0.0464226
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",SP_function,1,,87.6969686,74.291939,2.673796791,0.026737968,0,0.0,100,100,100,0.058438
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",SP_function,2,,88.03521938,76.90677966,10.71428571,0.297884963,0,0.0,100,100,100,0.0690622
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",SP_function,3,,87.04031207,77.4049217,3.926701571,0.071767016,0,0.0,100,100,100,0.0675741
100,25,5,1.1,9,3.85,"(50, 100)","(0, 50)",SP_function,4,,87.30522145,75.93360996,2.806122449,0.076214413,0,0.0,100,100,100,0.0656629
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,92.75106534,75.49407115,8.872901679,0.258276638,0,0.0,100,100,100,0.9770754
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,92.27886162,77.58186398,4.314720812,0.135503938,0,0.0,100,100,100,1.466439
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,92.28595607,76.73956262,7.086614173,0.356208599,0,0.0,100,100,100,1.3492243
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,92.17473594,83.53808354,5.735660848,0.242154598,0,0.0,100,100,100,1.4719309
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,92.46391269,78.47222222,8.465608466,0.498698738,0,0.0,100,100,100,1.3832211
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,92.75106534,75.49407115,8.872901679,0.258276638,0,0.0,100,100,100,1.4241974
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,92.27886162,77.58186398,4.314720812,0.135503938,0,0.0,100,100,100,1.5093049
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,92.28595607,76.73956262,7.086614173,0.356208599,0,0.0,100,100,100,1.3741449
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,92.17473594,83.53808354,5.735660848,0.242154598,0,0.0,100,100,100,1.4488504
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,,92.46391269,78.47222222,8.465608466,0.498698738,0,0.0,100,100,100,1.4305257
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",TTC_function,0,,92.59121469,75.73529412,11.40583554,0.474751443,0,0.0,100,100,100,0.0940737
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",TTC_function,1,,92.18283069,75.75057737,6.578947368,0.339875918,0,0.0,100,100,100,0.059754
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",TTC_function,2,,92.16694336,78.89688249,5.275779376,0.290539311,0,0.0,100,100,100,0.0697826
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",TTC_function,3,,92.12448883,81.84281843,9.214092141,0.331372761,0,0.0,100,100,100,0.0580945
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",TTC_function,4,,92.24621743,78.47222222,11.42061281,0.599154061,0,0.0,100,100,100,0.0599007
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",SP_function,0,,92.28175569,75.73529412,11.11111111,0.585049627,0,0.0,100,100,100,0.0572514
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",SP_function,1,,91.97531924,75.75057737,6.578947368,0.442556106,0,0.0,100,100,100,0.055509
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",SP_function,2,,91.9183954,76.63755459,7.591623037,0.4250572,0,0.0,100,100,100,0.0610948
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",SP_function,3,,91.91773868,79.95049505,6.435643564,0.271709089,0,0.0,100,100,100,0.0607848
100,25,5,1.25,6,2.6,"(50, 100)","(0, 50)",SP_function,4,,91.9167629,75.12315271,11.42061281,0.774225036,0,0.0,100,100,100,0.0750529
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,85.07138287,72.46376812,10.16548463,0.763182755,0,0.0,100,100,100,0.5005348
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,84.39660028,69.12751678,9.223300971,0.930845942,0,0.0,100,100,100,0.4569194
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,83.9607482,70.0228833,10.79136691,1.009108338,0,0.0,100,100,100,0.5252485
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,84.17220872,70.09345794,7.799442897,0.804471477,0,0.0,100,100,100,0.5467293
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,84.71577944,68.7960688,9.336609337,0.842789563,0,0.0,100,100,100,0.4368313
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,85.07138287,72.46376812,10.16548463,0.763182755,0,0.0,100,100,100,0.4578666
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,84.39660028,69.12751678,9.223300971,0.930845942,0,0.0,100,100,100,0.5499099
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,83.9607482,70.0228833,10.79136691,1.009108338,0,0.0,100,100,100,0.4210778
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,84.17220872,70.09345794,7.799442897,0.804471477,0,0.0,100,100,100,0.4406339
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,,84.71577944,68.7960688,9.336609337,0.842789563,0,0.0,100,100,100,0.4487033
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",TTC_function,0,,84.97663774,71.15384615,12.84153005,0.975261598,0,0.0,100,100,100,0.0430463
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",TTC_function,1,,84.33808695,62.90322581,10.82949309,1.386330317,0,0.0,100,100,100,0.0442228
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",TTC_function,2,,83.91555943,69.55503513,11.75059952,1.277903566,0,0.0,100,100,100,0.0574108
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",TTC_function,3,,84.01579891,66.66666667,11.2412178,1.031383966,0,0.0,100,100,100,0.0666664
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",TTC_function,4,,84.46213522,68.7960688,9.336609337,1.203480247,0,0.0,100,100,100,0.0749314
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",SP_function,0,,84.86000098,60.52631579,12.84153005,1.146071908,0,0.0,100,100,100,0.0663102
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",SP_function,1,,84.24797297,62.90322581,10.82949309,1.494660249,0,0.0,100,100,100,0.1347505
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",SP_function,2,,83.85915193,68.52678571,11.75059952,1.290119412,0,0.0,100,100,100,0.0602834
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",SP_function,3,,83.85258289,66.66666667,11.2412178,1.320472485,0,0.0,100,100,100,0.0589918
100,25,5,1.25,6,3.85,"(50, 100)","(0, 50)",SP_function,4,,84.42040908,68.2464455,9.336609337,1.318712929,0,0.0,100,100,100,0.0572458
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,96.20850938,84.23236515,3.58974359,0.035897436,0,0.0,100,100,100,0.4409782
