num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",serial_dictatorship,2,74.74729607698663,47.794117647058826,46.55963302752294,22.4647529263441,0,0.0,33,34,34,0.0287398000364191
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",serial_dictatorship,3,74.05610694979572,46.98544698544699,53.01455301455301,22.933430716640785,0,0.0,31,32,36,0.0301559999934397
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",serial_dictatorship,4,75.65814973087834,42.85714285714285,49.14893617021278,21.066223655813484,0,0.0,32,35,36,0.0306018999544903
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",round_robin,0,81.45658608656161,60.526315789473685,12.841530054644808,1.3687638955082246,0,0.0,100,100,100,0.0290835999767296
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",round_robin,1,81.14625697905602,62.903225806451616,12.024048096192388,1.5423574684617891,0,0.0,100,100,100,0.0306310000014491
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",round_robin,2,80.65178114965036,67.32456140350878,9.633027522935777,1.3804367330004124,0,0.0,100,100,100,0.0273110999842174
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",round_robin,3,80.46778594904463,65.48856548856548,9.725685785536156,1.40141801904774,0,0.0,100,100,100,0.0266591999679803
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",round_robin,4,81.49656151956562,61.839530332681015,13.502935420743649,1.8904128067283688,0,0.0,100,100,100,0.0274235000251792
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",bidirectional_round_robin,0,81.6165871052706,60.526315789473685,9.19540229885058,1.3139206556550898,0,0.0,100,100,100,0.0272681000060401
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",bidirectional_round_robin,1,81.01114648900528,64.02116402116403,10.804597701149431,1.5812292681162523,0,0.0,100,100,100,0.0276868999935686
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",bidirectional_round_robin,2,80.60025659984183,67.32456140350878,10.791366906474837,1.6976459244692563,0,0.0,100,100,100,0.0273823000025004
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",bidirectional_round_robin,3,80.91955887584992,63.1578947368421,11.933174224343674,1.5190317386397618,0,0.0,100,100,100,0.0274855999741703
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",bidirectional_round_robin,4,81.04732567228618,62.97872340425532,14.468085106382986,1.7593127320060815,0,0.0,100,100,100,0.0255951999570243
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,0,82.64314946960386,68.21705426356588,17.402597402597394,2.0242335021895896,0,0.0,87,89,89,3.821361599955708
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,1,81.97548468846526,70.05494505494505,21.7032967032967,2.260352521128475,0,0.0,87,92,92,3.9797017999808304
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,2,81.48541693097184,64.86486486486487,16.844919786096256,1.7860019030056729,0,0.0,87,93,93,4.022488999995403
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,3,81.78013483183639,65.76354679802957,17.837837837837824,1.51512614531772,0,0.0,91,93,94,4.000509000034072
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,4,82.46092187890676,66.50485436893204,13.086419753086416,1.774579079975123,0,0.0,88,89,90,3.9951493000262417
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,0,82.69703241339694,68.48958333333334,13.802083333333314,1.5947117114194274,0,0.0,88,91,91,3.798428000009153
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,1,82.08498319323482,70.05494505494505,17.109144542772867,2.2548148143623576,0,0.0,87,91,91,4.087364200036973
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,2,81.6303517135059,68.44660194174757,15.270935960591132,1.4761114712833725,0,0.0,88,95,95,3.797177899978124
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,3,81.79546305542065,65.76354679802957,10.451977401129938,1.2662158591395998,0,0.0,92,95,95,3.902060699998401
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,4,82.4984952387568,66.50485436893204,20.38626609442059,2.7530543791318176,0,0.0,89,89,90,3.911164199991618
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",utilitarian_matching,0,94.99133784843607,81.02564102564102,8.461538461538467,0.3110862032605294,0,0.0,94,96,100,0.1168987000128254
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",utilitarian_matching,1,95.32829698765148,82.68733850129199,4.73684210526315,0.1599419619726016,0,0.0,99,100,100,0.109671399986837
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",utilitarian_matching,2,95.78364904491816,81.08108108108108,8.108108108108112,0.1747914439126904,0,0.0,98,99,99,0.1155693999608047
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",utilitarian_matching,3,95.21369854664188,79.94011976047905,10.77844311377244,0.3895663256820221,0,0.0,93,96,99,0.1224868000135757
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",utilitarian_matching,4,94.87459278271191,81.9047619047619,11.42857142857143,0.316543987639757,0,0.0,94,97,97,0.114166599989403
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,94.2677911398433,83.11965811965813,0.2958579881656789,0.0029585798816567,0,0.0,100,100,100,0.1986759999999776
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,94.83998504211058,85.01170960187353,5.203619909502265,0.0520361990950226,0,0.0,100,100,100,0.2582880000118166
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,95.22382403623476,81.6377171215881,1.2406947890818856,0.0124069478908188,0,0.0,100,100,100,0.2618078000377863
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,94.39285700197718,73.33333333333333,4.691358024691354,0.0699550549012914,0,0.0,100,100,100,0.2001801999867893
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,94.4879457934134,86.1244019138756,4.359673024523161,0.1153134874854086,0,0.0,100,100,100,0.2428330000257119
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,94.2677911398433,83.11965811965813,0.2958579881656789,0.0029585798816567,0,0.0,100,100,100,0.2046187000232748
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,94.83998504211058,85.01170960187353,5.203619909502265,0.0520361990950226,0,0.0,100,100,100,0.2094725000206381
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,95.22382403623476,81.6377171215881,1.2406947890818856,0.0124069478908188,0,0.0,100,100,100,0.254518800007645
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,94.39285700197718,73.33333333333333,4.691358024691354,0.0699550549012914,0,0.0,100,100,100,0.2015770000289194
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,94.4879457934134,86.1244019138756,4.359673024523161,0.1153134874854086,0,0.0,100,100,100,0.2138097999850288
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",serial_dictatorship,0,86.52673039340957,54.741379310344826,40.829694323144096,8.15228703864269,0,0.0,56,63,78,0.0262387999682687
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",serial_dictatorship,1,86.27083736692177,47.15447154471545,44.98644986449864,8.220227546677856,0,0.0,59,67,76,0.0316336000105366
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",serial_dictatorship,2,87.8098837144509,49.13151364764268,39.140811455847256,7.764028144204868,0,0.0,61,64,84,0.0291375000379048
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",serial_dictatorship,3,86.2768317220364,50.23696682464455,42.89156626506024,8.48649583424615,0,0.0,56,62,76,0.0274290000088512
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",serial_dictatorship,4,86.17492320834346,52.07877461706784,39.23444976076556,8.58895062083628,0,0.0,54,59,72,0.0281258000177331
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",round_robin,0,93.56379576907412,76.36761487964989,4.656862745098039,0.1034370566764428,0,0.0,100,100,100,0.0275222999625839
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",round_robin,1,94.05498011463108,76.15176151761518,5.149051490514893,0.0926216203036064,0,0.0,100,100,100,0.0285250999731943
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",round_robin,2,94.4613045815697,74.20634920634922,10.26252983293557,0.2221864485047349,0,0.0,100,100,100,0.0267061999766156
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",round_robin,3,93.59291906985976,74.82185273159145,7.125890736342043,0.103471970140846,0,0.0,100,100,100,0.0279359999694861
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",round_robin,4,93.47239484207265,74.88038277511961,8.219178082191789,0.3567314764741786,0,0.0,100,100,100,0.027104299981147
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,0,93.284250255984,77.67653758542141,14.322916666666655,0.5416614475360848,0,0.0,100,100,100,0.0277530999737791
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,1,94.13268985064413,83.08823529411765,13.0,0.1866653934300991,0,0.0,100,100,100,0.0273040999891236
