num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,s1,s2,s3,s4,runtime
6,10,0.0,round_robin,0,806,89,['c1'],['c5'],['c2'],['c4'],0.0005442999536171556
6,10,0.0,round_robin,1,797,117,['c5'],['c9'],['c6'],['c2'],0.0005386999109759927
6,10,0.0,round_robin,2,741,70,['c7'],['c5'],['c8'],['c1'],0.0005787999834865332
6,10,0.0,round_robin,3,908,120,['c3'],['c7'],['c2'],['c6'],0.0005584999453276396
6,10,0.0,round_robin,4,891,114,['c3'],['c9'],['c4'],['c8'],0.0005471999756991863
6,11,0.0,round_robin,0,801,99,['c1'],['c11'],['c5'],['c4'],0.0005590999498963356
6,11,0.0,round_robin,1,817,99,['c5'],['c2'],['c10'],['c9'],0.0005755999591201544
6,11,0.0,round_robin,2,826,95,['c8'],['c7'],['c5'],['c1'],0.0006229000864550471
6,11,0.0,round_robin,3,796,107,['c6'],['c3'],['c2'],['c7'],0.0005469999741762877
6,11,0.0,round_robin,4,793,89,['c4'],['c8'],['c3'],['c9'],0.0005735000595450401
6,12,0.0,round_robin,0,711,93,['c11'],['c12'],['c5'],['c2'],0.0005680000176653266
6,12,0.0,round_robin,1,694,107,['c5'],['c6'],['c2'],['c1'],0.0006154000293463469
6,12,0.0,round_robin,2,794,95,['c7'],['c8'],['c5'],['c12'],0.0005564000457525253
6,12,0.0,round_robin,3,838,112,['c3'],['c1'],['c2'],['c7'],0.0005769999697804451
6,12,0.0,round_robin,4,876,93,['c9'],['c8'],['c4'],['c3'],0.0006266999989748001
6,13,0.0,round_robin,0,695,78,['c5'],['c12'],['c11'],['c4'],0.0005848000291734934
6,13,0.0,round_robin,1,680,102,['c2'],['c9'],['c1'],['c4'],0.000598000013269484
6,13,0.0,round_robin,2,814,90,['c7'],['c12'],['c8'],['c13'],0.0006628000410273671
6,13,0.0,round_robin,3,709,84,['c2'],['c1'],['c7'],['c3'],0.001298899995163083
6,13,0.0,round_robin,4,825,89,['c8'],['c3'],['c9'],['c4'],0.0010999999940395355
6,14,0.0,round_robin,0,627,82,['c5'],['c11'],['c12'],['c4'],0.0006512000691145658
6,14,0.0,round_robin,1,672,96,['c2'],['c1'],['c6'],['c10'],0.0006416999967768788
6,14,0.0,round_robin,2,721,102,['c5'],['c13'],['c7'],['c8'],0.0007047000108286738
6,14,0.0,round_robin,3,680,88,['c3'],['c2'],['c13'],['c1'],0.000658900011330843
6,14,0.0,round_robin,4,688,67,['c8'],['c3'],['c9'],['c4'],0.0006371999625116587
6,15,0.0,round_robin,0,642,70,['c11'],['c5'],['c12'],['c4'],0.0006618000334128737
6,15,0.0,round_robin,1,603,78,['c1'],['c5'],['c2'],['c6'],0.0012855000095441937
6,15,0.0,round_robin,2,705,76,['c5'],['c7'],['c13'],['c8'],0.0006658000638708472
