max_total_agent_capacity,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1000,serial_dictatorship,6,91.38944619099587,13.215859030837004,74.44933920704845,8.17699399743162,5,0.5736040609137056,185,196,197,0.08454270008951426
1000,serial_dictatorship,7,90.1832817077391,12.0,84.21052631578947,9.63413531635631,4,0.48717948717948717,186,192,194,0.07202650001272559
1000,serial_dictatorship,8,90.6780280525814,13.215859030837004,74.44933920704845,7.60811226325118,5,0.533678756476684,184,191,192,0.08403160003945231
1000,serial_dictatorship,9,90.8396213218051,37.743589743589745,66.26794258373205,6.606327735328237,5,0.6237113402061856,184,194,194,0.07168719987384975
1000,round_robin,0,93.6944262987644,66.60000000000001,64.83253588516746,4.206589033370953,4,0.6256410256410256,195,195,195,0.0669157998636365
1000,round_robin,1,93.5791622994695,50.0,64.83253588516746,5.3568109212105215,4,0.601010101010101,198,198,198,0.07982290000654757
1000,round_robin,2,92.49133109245558,50.0,66.26794258373205,4.994644409655666,4,0.7525773195876289,194,194,194,0.09711249987594783
1000,round_robin,3,94.44418871432347,66.60000000000001,64.83253588516746,2.366374747500394,4,0.47643979057591623,191,191,191,0.09599100006744266
1000,round_robin,4,92.55028888507218,50.0,66.26794258373205,5.793179908811427,4,0.5431472081218274,197,197,197,0.09367970004677773
1000,round_robin,5,92.82061479630963,66.60000000000001,64.83253588516746,3.6560466789458332,4,0.36923076923076925,195,195,195,0.09498709999024868
1000,round_robin,6,93.72822817049766,66.60000000000001,66.26794258373205,4.681995620934805,4,0.5126903553299492,197,197,197,0.10240540001541376
1000,round_robin,7,93.62424815187799,50.0,64.83253588516746,5.450682678887232,4,0.4256410256410256,195,195,195,0.09424549993127584
1000,round_robin,8,93.60839965109844,66.60000000000001,64.83253588516746,4.109252012614186,4,0.48704663212435234,193,193,193,0.09403749997727573
1000,round_robin,9,93.08057010479932,66.60000000000001,64.83253588516746,4.031779416977595,4,0.5773195876288659,194,194,194,0.08101260010153055
1000,bidirectional_round_robin,0,93.60800568433524,66.60000000000001,64.83253588516746,4.293009647800107,4,0.6307692307692307,195,195,195,0.09461900009773672
1000,bidirectional_round_robin,1,93.578837137854,50.0,64.83253588516746,5.357136082826007,4,0.601010101010101,198,198,198,0.08249130006879568
1000,bidirectional_round_robin,2,92.59354259894046,50.0,66.26794258373205,4.892432903170797,4,0.7474226804123711,194,194,194,0.07760499999858439
1000,bidirectional_round_robin,3,94.41277720849885,66.60000000000001,64.83253588516746,2.336985712875757,4,0.47643979057591623,191,191,191,0.08288300014100969
1000,bidirectional_round_robin,4,92.66871086297121,50.0,66.26794258373205,5.674757930912406,4,0.5380710659898477,197,197,197,0.11027089995332062
1000,bidirectional_round_robin,5,92.69841600656741,66.60000000000001,64.83253588516746,3.6494282643869713,4,0.37435897435897436,195,195,195,0.09952279995195568
1000,bidirectional_round_robin,6,93.94850152242655,66.60000000000001,66.26794258373205,4.461722269005922,4,0.5126903553299492,197,197,197,0.14117570011876523
1000,bidirectional_round_robin,7,93.62424815187799,50.0,64.83253588516746,5.450682678887232,4,0.4256410256410256,195,195,195,0.08504629996605217
1000,bidirectional_round_robin,8,93.6090668220815,66.60000000000001,64.83253588516746,4.108584841631121,4,0.48704663212435234,193,193,193,0.08136850013397634
1000,bidirectional_round_robin,9,93.08057010479932,66.60000000000001,64.83253588516746,4.031779416977595,4,0.5773195876288659,194,194,194,0.07354329992085695
