max_total_agent_capacity,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
2000,iterated_maximum_matching_unadjusted,6,no_solver,71.43631711,33.4,49.8,10.80806908,5,1.607792208,385,385,385,1.708366
2000,iterated_maximum_matching_unadjusted,7,no_solver,69.94017693,40.28776978,49.8,8.117801848,5,1.582474227,388,388,388,1.8126481
2000,iterated_maximum_matching_unadjusted,8,no_solver,70.2144573,33.4,40,7.235013049,5,1.622395833,367,384,384,1.8036316
2000,iterated_maximum_matching_unadjusted,9,no_solver,69.81367228,33.4,49.8,9.030821406,5,1.639473684,380,380,380,1.4032687
2000,iterated_maximum_matching_adjusted,0,no_solver,70.07625724,33.4,40,6.270832506,5,1.60880829,371,386,386,1.7221102
2000,iterated_maximum_matching_adjusted,1,no_solver,69.93059026,32.5,49.8,5.757964573,5,1.573232323,379,396,396,1.673643
2000,iterated_maximum_matching_adjusted,2,no_solver,71.39659402,33.4,49.8,10.46444292,5,1.621761658,386,386,386,1.6534158
2000,iterated_maximum_matching_adjusted,3,no_solver,71.28350533,33.4,40,8.037396769,5,1.626943005,368,386,386,1.9216925
2000,iterated_maximum_matching_adjusted,4,no_solver,70.81477051,33.4,49.8,8.450612051,5,1.565989848,394,394,394,2.7033296
2000,iterated_maximum_matching_adjusted,5,no_solver,70.05227928,33.4,40,4.985396323,5,1.606683805,380,389,389,4.6720486
2000,iterated_maximum_matching_adjusted,6,no_solver,71.43631711,33.4,49.8,10.80806908,5,1.607792208,385,385,385,3.3490652
2000,iterated_maximum_matching_adjusted,7,no_solver,69.94017693,40.28776978,49.8,8.117801848,5,1.582474227,388,388,388,1.455797
2000,iterated_maximum_matching_adjusted,8,no_solver,70.2144573,33.4,40,7.235013049,5,1.622395833,367,384,384,1.3243416
2000,iterated_maximum_matching_adjusted,9,no_solver,69.81367228,33.4,49.8,9.030821406,5,1.639473684,380,380,380,1.1659497
2000,TTC_function,0,no_solver,70.11924569,33.4,40,6.355196782,5,1.639896373,369,386,386,0.3941084
2000,TTC_function,1,no_solver,70.30177984,28.8,49.8,6.916825129,5,1.606060606,371,396,396,0.4541776
2000,TTC_function,2,no_solver,71.37800019,28.8,49.8,9.524654448,5,1.652849741,376,386,386,0.509893
2000,TTC_function,3,no_solver,71.64852475,33.4,40,4.371158945,5,1.642487047,363,386,386,0.4989812
2000,TTC_function,4,no_solver,70.30026753,28.8,49.8,10.62720379,5,1.611675127,392,394,394,0.4829258
2000,TTC_function,5,no_solver,70.10294039,28.8,40,7.031954194,5,1.627249357,372,389,389,0.43864
2000,TTC_function,6,no_solver,71.58421832,28.8,49.8,10.32309401,5,1.644155844,383,385,385,0.4533174
2000,TTC_function,7,no_solver,69.83373595,28.8,49.8,7.376507303,5,1.577319588,372,388,388,0.4537442
2000,TTC_function,8,no_solver,70.1679363,33.4,40,6.328883994,5,1.604166667,353,384,384,0.3739225
2000,TTC_function,9,no_solver,70.33443458,28.8,49.8,9.537347215,5,1.665789474,375,380,380,0.4492618
2000,SP_function,0,no_solver,69.10066852,33.4,40,6.842332578,5,1.639896373,369,386,386,0.4466451
2000,SP_function,1,no_solver,68.86628782,28.8,40,5.803396347,5,1.606060606,371,396,396,0.4636597
2000,SP_function,2,no_solver,69.12051792,28.8,40,7.260897285,5,1.652849741,376,386,386,0.5044674
2000,SP_function,3,no_solver,69.84603491,33.4,40,4.273128857,5,1.652849741,363,386,386,0.3956956
2000,SP_function,4,no_solver,68.85466789,28.8,40,8.700611948,5,1.611675127,392,394,394,0.4846565
2000,SP_function,5,no_solver,67.85309583,28.8,40,4.901248501,5,1.63496144,372,389,389,0.4373845
2000,SP_function,6,no_solver,70.06503752,28.8,40,8.301469774,5,1.644155844,383,385,385,0.4066711
2000,SP_function,7,no_solver,68.65268056,28.8,40,6.102749569,5,1.634020619,372,388,388,0.4118899
2000,SP_function,8,no_solver,69.36683884,33.4,40,7.310445444,5,1.65625,353,384,384,0.4103239
2000,SP_function,9,no_solver,68.43432859,28.8,40,5.116617616,5,1.665789474,375,380,380,0.432121
1000,TTC_O_function,0,CBC,85.43170416,35.3,64.83253589,12.14695726,4,0.682051282,195,195,195,29.6153701
1000,TTC_O_function,0,MOSEK,85.43170416,35.3,64.83253589,12.14695726,4,0.692307692,195,195,195,35.036008
1000,TTC_O_function,0,SCIP,85.43170416,35.3,64.83253589,12.14695726,4,0.692307692,195,195,195,40.281491
1000,TTC_O_function,1,CBC,86.41520524,50,64.83253589,12.96221919,4,0.656565657,198,198,198,35.6741456
1000,TTC_O_function,1,MOSEK,86.23330568,35.3,64.83253589,13.4313642,4,0.666666667,198,198,198,45.6371049
1000,TTC_O_function,1,SCIP,86.23330568,35.3,64.83253589,13.4313642,4,0.666666667,198,198,198,51.901569
1000,TTC_O_function,2,CBC,86.29436395,35.3,64.83253589,10.5827974,4,0.809278351,194,194,194,45.5435298
1000,TTC_O_function,2,MOSEK,86.29436395,35.3,64.83253589,10.5827974,4,0.824742268,194,194,194,43.7828863
1000,TTC_O_function,2,SCIP,86.3436027,35.3,64.83253589,10.53355865,4,0.824742268,194,194,194,50.0740629
1000,TTC_O_function,3,CBC,85.80170937,50,64.83253589,11.2823852,4,0.502617801,191,191,191,41.4921538
1000,TTC_O_function,3,MOSEK,85.71597503,50,64.83253589,11.64367755,4,0.528795812,191,191,191,35.0661472
1000,TTC_O_function,3,SCIP,85.80170937,50,64.83253589,11.2823852,4,0.528795812,191,191,191,36.8364269
1000,TTC_O_function,4,CBC,84.39484064,35.3,64.83253589,13.20912551,4,0.578680203,197,197,197,32.0888408
1000,TTC_O_function,4,MOSEK,84.4791046,35.3,64.83253589,13.12486155,4,0.588832487,197,197,197,31.6466122
1000,TTC_O_function,4,SCIP,84.39484064,35.3,64.83253589,13.20912551,4,0.588832487,197,197,197,35.0956411
1000,TTC_O_function,5,CBC,83.2733285,40.28776978,64.83253589,14.84616624,4,0.441025641,195,195,195,31.3372194
1000,TTC_O_function,5,MOSEK,83.2733285,40.28776978,64.83253589,14.84616624,4,0.471794872,195,195,195,33.326257
1000,TTC_O_function,5,SCIP,83.24947638,40.28776978,64.83253589,14.87001835,4,0.471794872,195,195,195,40.8012096
1000,TTC_O_function,6,CBC,85.90801499,50,66.26794258,12.03209858,4,0.558375635,197,197,197,47.7015318
1000,TTC_O_function,6,MOSEK,85.90801499,50,66.26794258,12.03209858,4,0.573604061,197,197,197,46.002425
1000,TTC_O_function,6,SCIP,85.90801499,50,66.26794258,12.03209858,4,0.573604061,197,197,197,55.0703458
1000,TTC_O_function,7,CBC,84.95337499,35.3,64.83253589,13.65439276,4,0.471794872,195,195,195,46.6533736
1000,TTC_O_function,7,MOSEK,84.87645191,35.3,64.83253589,13.73131583,4,0.492307692,195,195,195,44.9844738
1000,TTC_O_function,7,SCIP,84.8732961,35.3,64.83253589,13.73447165,4,0.492307692,195,195,195,52.1986499
1000,TTC_O_function,8,CBC,85.79863232,40.28776978,64.83253589,11.62476912,4,0.528497409,193,193,193,45.8114716
1000,TTC_O_function,8,MOSEK,85.59280316,40.28776978,64.83253589,11.66452548,4,0.533678756,193,193,193,46.2088639
1000,TTC_O_function,8,SCIP,85.68788708,40.28776978,64.83253589,11.56944157,4,0.533678756,193,193,193,52.6931771
1000,TTC_O_function,9,CBC,86.08218979,35.3,47.84688995,10.15145375,4,0.634020619,194,194,194,45.8459297
1000,TTC_O_function,9,MOSEK,85.92701413,35.3,47.84688995,10.09941291,4,0.654639175,194,194,194,46.2152819
1000,TTC_O_function,9,SCIP,85.97959145,35.3,47.84688995,10.25405208,4,0.654639175,194,194,194,53.6350715
1000,SP_O_function,0,CBC,85.43170416,35.3,64.83253589,12.14695726,4,0.682051282,195,195,195,79.6848817
1000,SP_O_function,0,MOSEK,85.43170416,35.3,64.83253589,12.14695726,4,0.692307692,195,195,195,79.8352639
1000,SP_O_function,0,SCIP,85.43170416,35.3,64.83253589,12.14695726,4,0.692307692,195,195,195,82.0346456
1000,SP_O_function,1,CBC,86.41520524,50,64.83253589,12.96221919,4,0.656565657,198,198,198,74.6518323
1000,SP_O_function,1,MOSEK,86.23330568,35.3,64.83253589,13.4313642,4,0.666666667,198,198,198,76.8213574
1000,SP_O_function,1,SCIP,86.23330568,35.3,64.83253589,13.4313642,4,0.666666667,198,198,198,84.0178227
1000,SP_O_function,2,CBC,86.29436395,35.3,64.83253589,10.5827974,4,0.809278351,194,194,194,77.0363936
1000,SP_O_function,2,MOSEK,86.29436395,35.3,64.83253589,10.5827974,4,0.824742268,194,194,194,79.1799196
1000,SP_O_function,2,SCIP,86.3436027,35.3,64.83253589,10.53355865,4,0.824742268,194,194,194,88.2843563
1000,SP_O_function,3,CBC,85.80170937,50,64.83253589,11.2823852,4,0.502617801,191,191,191,85.6740391
1000,SP_O_function,3,MOSEK,85.71597503,50,64.83253589,11.64367755,4,0.528795812,191,191,191,81.8316634
1000,SP_O_function,3,SCIP,85.80170937,50,64.83253589,11.2823852,4,0.528795812,191,191,191,88.1443868
1000,SP_O_function,4,CBC,84.39484064,35.3,64.83253589,13.20912551,4,0.578680203,197,197,197,76.1489333
1000,SP_O_function,4,MOSEK,84.4791046,35.3,64.83253589,13.12486155,4,0.588832487,197,197,197,76.0794063
1000,SP_O_function,4,SCIP,84.39484064,35.3,64.83253589,13.20912551,4,0.588832487,197,197,197,83.059669
1000,SP_O_function,5,CBC,83.2733285,40.28776978,64.83253589,14.84616624,4,0.441025641,195,195,195,75.2488225
1000,SP_O_function,5,MOSEK,83.2733285,40.28776978,64.83253589,14.84616624,4,0.471794872,195,195,195,74.8649933
1000,SP_O_function,5,SCIP,83.24947638,40.28776978,64.83253589,14.87001835,4,0.471794872,195,195,195,83.7211746
1000,SP_O_function,6,CBC,85.90801499,50,66.26794258,12.03209858,4,0.558375635,197,197,197,78.0268036
1000,SP_O_function,6,MOSEK,85.90801499,50,66.26794258,12.03209858,4,0.573604061,197,197,197,78.9992953
1000,SP_O_function,6,SCIP,85.90801499,50,66.26794258,12.03209858,4,0.573604061,197,197,197,86.0294939
1000,SP_O_function,7,CBC,84.95337499,35.3,64.83253589,13.65439276,4,0.471794872,195,195,195,76.4360306
1000,SP_O_function,7,MOSEK,84.87645191,35.3,64.83253589,13.73131583,4,0.492307692,195,195,195,76.7539478
1000,SP_O_function,7,SCIP,84.8732961,35.3,64.83253589,13.73447165,4,0.492307692,195,195,195,82.341153
1000,SP_O_function,8,CBC,85.79863232,40.28776978,64.83253589,11.62476912,4,0.528497409,193,193,193,98.6658718
1000,SP_O_function,8,MOSEK,85.59280316,40.28776978,64.83253589,11.66452548,4,0.533678756,193,193,193,135.3750039
1000,SP_O_function,8,SCIP,85.68788708,40.28776978,64.83253589,11.56944157,4,0.533678756,193,193,193,150.3018614
1000,SP_O_function,9,CBC,86.08218979,35.3,47.84688995,10.15145375,4,0.634020619,194,194,194,138.2381645
1000,SP_O_function,9,MOSEK,85.92701413,35.3,47.84688995,10.09941291,4,0.654639175,194,194,194,139.1453244
1000,SP_O_function,9,SCIP,85.97959145,35.3,47.84688995,10.25405208,4,0.654639175,194,194,194,150.9287165
1000,OC_function,0,CBC,92.78535814,60,66.26794258,4.969934524,5,0.676923077,195,195,195,12.4694924
1000,OC_function,0,MOSEK,92.78535814,60,66.26794258,4.969934524,5,0.676923077,195,195,195,12.2367565
1000,OC_function,0,SCIP,92.78535814,60,66.26794258,4.969934524,5,0.676923077,195,195,195,16.570337
1000,OC_function,1,CBC,92.31807454,60,67.70334928,5.937983763,5,0.646464646,194,198,198,15.6394802
1000,OC_function,1,MOSEK,92.31807454,60,67.70334928,5.937983763,5,0.646464646,194,198,198,15.4198501
1000,OC_function,1,SCIP,92.31807454,60,67.70334928,5.937983763,5,0.646464646,194,198,198,16.316635
1000,OC_function,2,CBC,92.51718837,60,84.21052632,5.618310068,5,0.742268041,186,186,194,14.9706976
1000,OC_function,2,MOSEK,92.51718837,60,84.21052632,5.618310068,5,0.742268041,186,186,194,15.5658771
