input_range,equal_capacities,equal_valuations,binary_valuations,num_of_items,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,current_algorithm_bundle_min_value,current_algorithm_bundle_sum,runtime
input_ranges_algorithm_1,True,True,True,1,16,1,0,76,egalitarian_algorithm,0.0131578947368421,1.000000000000001,0.1342553879949264
input_ranges_algorithm_1,True,True,True,1,16,1,0,76,utilitarian_algorithm,0.0,1.0,0.005480340012582
input_ranges_algorithm_1,True,True,True,1,16,1,0,76,iterated_maximum_matching,0.0,1.0,0.005262741993647
input_ranges_algorithm_1,True,True,True,1,16,1,0,91,per_category_round_robin,0.0,1.0,3.60188679699786
input_ranges_algorithm_1,True,True,True,1,16,1,0,91,per_category_round_robin_optimized,0.0,1.0,3.454005217005033
input_ranges_algorithm_1,True,True,True,1,16,1,0,91,egalitarian_algorithm,0.0109890109890109,0.9999999999999984,0.1528201710025314
input_ranges_algorithm_1,True,True,True,1,16,1,0,91,utilitarian_algorithm,0.0,1.0,0.0086160890059545
input_ranges_algorithm_1,True,True,True,1,16,1,0,91,iterated_maximum_matching,0.0,1.0,0.0065578530193306
input_ranges_algorithm_1,True,True,True,1,16,1,0,106,per_category_round_robin,0.0,0.0,4.648776043002727
input_ranges_algorithm_1,True,True,True,1,16,1,0,106,per_category_round_robin_optimized,0.0,0.0,4.61088722498971
input_ranges_algorithm_1,True,True,True,1,16,1,0,106,egalitarian_algorithm,0.0,0.0,0.2281196200056001
input_ranges_algorithm_1,True,True,True,1,16,1,0,106,utilitarian_algorithm,0.0,0.0,0.0078193340159486
input_ranges_algorithm_1,True,True,True,1,16,1,0,106,iterated_maximum_matching,0.0,0.0,0.0102880930062383
input_ranges_algorithm_1,True,True,True,1,31,1,0,1,per_category_round_robin,0.0,0.0,0.0020216669945511
input_ranges_algorithm_1,True,True,True,1,31,1,0,1,per_category_round_robin_optimized,0.0,0.0,0.0022338739945553
input_ranges_algorithm_1,True,True,True,1,31,1,0,1,egalitarian_algorithm,0.0,0.0,0.0088510459754616
input_ranges_algorithm_1,True,True,True,1,31,1,0,1,utilitarian_algorithm,0.0,0.0,0.0009423609881196
input_ranges_algorithm_1,True,True,True,1,31,1,0,1,iterated_maximum_matching,0.0,0.0,0.0006993470015004
input_ranges_algorithm_1,True,True,True,1,31,1,0,16,per_category_round_robin,0.0,1.0,0.3595520959934219
input_ranges_algorithm_1,True,True,True,1,31,1,0,16,per_category_round_robin_optimized,0.0,1.0,0.378297379007563
input_ranges_algorithm_1,True,True,True,1,31,1,0,16,egalitarian_algorithm,0.0625,1.0,0.028466757008573
input_ranges_algorithm_1,True,True,True,1,31,1,0,16,utilitarian_algorithm,0.0,1.0,0.0018088689830619
input_ranges_algorithm_1,True,True,True,1,31,1,0,16,iterated_maximum_matching,0.0,1.0,0.0017614709795452
input_ranges_algorithm_1,True,True,True,1,31,1,0,31,per_category_round_robin,0.0,0.0,1.3647313299879895
input_ranges_algorithm_1,True,True,True,1,31,1,0,31,per_category_round_robin_optimized,0.0,0.0,1.3704905179911293
input_ranges_algorithm_1,True,True,True,1,31,1,0,31,egalitarian_algorithm,0.0,0.0,0.0525227340112905
input_ranges_algorithm_1,True,True,True,1,31,1,0,31,utilitarian_algorithm,0.0,0.0,0.0026038550131488
input_ranges_algorithm_1,True,True,True,1,31,1,0,31,iterated_maximum_matching,0.0,0.0,0.0026275590062141
input_ranges_algorithm_1,True,True,True,1,31,1,0,46,per_category_round_robin,0.0,0.0,3.0697548470052425
input_ranges_algorithm_1,True,True,True,1,31,1,0,46,per_category_round_robin_optimized,0.0,0.0,3.031910046993289
input_ranges_algorithm_1,True,True,True,1,31,1,0,46,egalitarian_algorithm,0.0,0.0,0.0770410840050317
input_ranges_algorithm_1,True,True,True,1,31,1,0,46,utilitarian_algorithm,0.0,0.0,0.0038097590149845
input_ranges_algorithm_1,True,True,True,1,31,1,0,46,iterated_maximum_matching,0.0,0.0,0.0036293800221756
input_ranges_algorithm_1,True,True,True,1,31,1,0,61,per_category_round_robin,0.0,1.0,5.392845363006927
input_ranges_algorithm_1,True,True,True,1,31,1,0,61,per_category_round_robin_optimized,0.0,1.0,5.410140231979312
input_ranges_algorithm_1,True,True,True,1,31,1,0,61,egalitarian_algorithm,0.0163934426229508,1.0000000000000009,0.1619809940166305
input_ranges_algorithm_1,True,True,True,1,31,1,0,61,utilitarian_algorithm,0.0,1.0,0.0042538080015219
input_ranges_algorithm_1,True,True,True,1,31,1,0,61,iterated_maximum_matching,0.0,1.0,0.0059345280169509
input_ranges_algorithm_1,True,True,True,1,31,1,0,76,per_category_round_robin,0.0,1.0,8.528844587999629
input_ranges_algorithm_1,True,True,True,1,31,1,0,76,per_category_round_robin_optimized,0.0,1.0,8.586166622990277
input_ranges_algorithm_1,True,True,True,1,31,1,0,76,egalitarian_algorithm,0.0131578947368421,1.000000000000001,0.1149668970028869
input_ranges_algorithm_1,True,True,True,1,31,1,0,76,utilitarian_algorithm,0.0,1.0,0.005655076005496
input_ranges_algorithm_1,True,True,True,1,31,1,0,76,iterated_maximum_matching,0.0,1.0,0.0053942280064802
input_ranges_algorithm_1,True,True,True,1,31,1,0,91,per_category_round_robin,0.0,1.0,11.787922134011753
input_ranges_algorithm_1,True,True,True,1,31,1,0,91,per_category_round_robin_optimized,0.0,1.0,11.638578123005573
input_ranges_algorithm_1,True,True,True,1,31,1,0,91,egalitarian_algorithm,0.0109890109890109,0.9999999999999984,0.1996565019944682
input_ranges_algorithm_1,True,True,True,1,31,1,0,91,utilitarian_algorithm,0.0,1.0,0.0067069710057694
input_ranges_algorithm_1,True,True,True,1,31,1,0,91,iterated_maximum_matching,0.0,1.0,0.0092854090034961
input_ranges_algorithm_1,True,True,True,1,31,1,0,106,egalitarian_algorithm,0.0094339622641509,1.0,0.1578922629996668
input_ranges_algorithm_1,True,True,True,1,31,1,0,106,utilitarian_algorithm,0.0,1.0,0.0085432720079552
input_ranges_algorithm_1,True,True,True,1,31,1,0,106,iterated_maximum_matching,0.0,1.0,0.0075309899984858
input_ranges_algorithm_1,True,True,True,1,46,1,0,1,per_category_round_robin,1.0,1.0,0.0036875299992971
input_ranges_algorithm_1,True,True,True,1,46,1,0,1,per_category_round_robin_optimized,1.0,1.0,0.0455297070147935
input_ranges_algorithm_1,True,True,True,1,46,1,0,1,egalitarian_algorithm,1.0,1.0,0.0068003660126123
input_ranges_algorithm_1,True,True,True,1,46,1,0,1,utilitarian_algorithm,1.0,1.0,0.0008191810047719
input_ranges_algorithm_1,True,True,True,1,46,1,0,1,iterated_maximum_matching,1.0,1.0,0.0008944009896367
input_ranges_algorithm_1,True,True,True,1,46,1,0,16,per_category_round_robin,0.0,0.0,0.754769225983182
input_ranges_algorithm_1,True,True,True,1,46,1,0,16,per_category_round_robin_optimized,0.0,0.0,0.78418800100917
input_ranges_algorithm_1,True,True,True,1,46,1,0,16,egalitarian_algorithm,0.0,0.0,0.0347691130009479
input_ranges_algorithm_1,True,True,True,1,46,1,0,16,utilitarian_algorithm,0.0,0.0,0.0018574599816929
input_ranges_algorithm_1,True,True,True,1,46,1,0,16,iterated_maximum_matching,0.0,0.0,0.001805763982702
input_ranges_algorithm_1,True,True,True,1,46,1,0,31,per_category_round_robin,0.0,0.0,2.9053531009994917
input_ranges_algorithm_1,True,True,True,1,46,1,0,31,per_category_round_robin_optimized,0.0,0.0,2.9419820370094385
input_ranges_algorithm_1,True,True,True,1,46,1,0,31,egalitarian_algorithm,0.0,0.0,0.0499874289962463
input_ranges_algorithm_1,True,True,True,1,46,1,0,31,utilitarian_algorithm,0.0,0.0,0.0027470529894344
input_ranges_algorithm_1,True,True,True,1,46,1,0,31,iterated_maximum_matching,0.0,0.0,0.0027308329881634
input_ranges_algorithm_1,True,True,True,1,46,1,0,46,per_category_round_robin,0.0,0.0,6.405546472000424
input_ranges_algorithm_1,True,True,True,1,46,1,0,46,per_category_round_robin_optimized,0.0,0.0,6.536800407018745
input_ranges_algorithm_1,True,True,True,1,46,1,0,46,egalitarian_algorithm,0.0,0.0,0.0750960290024522
input_ranges_algorithm_1,True,True,True,1,46,1,0,46,utilitarian_algorithm,0.0,0.0,0.0053419409960042
input_ranges_algorithm_1,True,True,True,1,46,1,0,46,iterated_maximum_matching,0.0,0.0,0.0057537599932402
input_ranges_algorithm_1,True,True,True,1,46,1,0,61,per_category_round_robin,0.0,1.0,11.536413597001228
input_ranges_algorithm_1,True,True,True,1,46,1,0,61,per_category_round_robin_optimized,0.0,1.0,11.45941228501033
input_ranges_algorithm_1,True,True,True,1,46,1,0,61,egalitarian_algorithm,0.0163934426229508,1.0000000000000009,0.173736436991021
input_ranges_algorithm_1,True,True,True,1,46,1,0,61,utilitarian_algorithm,0.0,1.0,0.0047710450016893
input_ranges_algorithm_1,True,True,True,1,46,1,0,61,iterated_maximum_matching,0.0,1.0,0.0049272360047325
input_ranges_algorithm_1,True,True,True,1,46,1,0,76,egalitarian_algorithm,0.0,0.0,0.1200375760090537
input_ranges_algorithm_1,True,True,True,1,46,1,0,76,utilitarian_algorithm,0.0,0.0,0.006260485999519
input_ranges_algorithm_1,True,True,True,1,46,1,0,76,iterated_maximum_matching,0.0,0.0,0.0056229559995699
input_ranges_algorithm_1,True,True,True,1,46,1,0,91,egalitarian_algorithm,0.0109890109890109,0.9999999999999984,0.142961945006391
input_ranges_algorithm_1,True,True,True,1,46,1,0,91,utilitarian_algorithm,0.0,1.0,0.0062509280105587
input_ranges_algorithm_1,True,True,True,1,46,1,0,91,iterated_maximum_matching,0.0,1.0,0.0489409409929066
input_ranges_algorithm_1,True,True,True,1,46,1,0,106,egalitarian_algorithm,0.0094339622641509,1.0,0.1957765639817807
input_ranges_algorithm_1,True,True,True,1,46,1,0,106,utilitarian_algorithm,0.0,1.0,0.0081548469897825
input_ranges_algorithm_1,True,True,True,1,46,1,0,106,iterated_maximum_matching,0.0,1.0,0.0078952109906822
input_ranges_algorithm_1,True,True,True,1,61,1,0,1,per_category_round_robin,0.0,0.0,0.0024681020004209
input_ranges_algorithm_1,True,True,True,1,61,1,0,1,per_category_round_robin_optimized,0.0,0.0,0.0030983379983808
input_ranges_algorithm_1,True,True,True,1,61,1,0,1,egalitarian_algorithm,0.0,0.0,0.0069288560189306
