num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,1.0,iterated_maximum_matching_unadjusted,2,,94.94458395,81.51125402,9.555189456,0.337228107,0,0.0,100,100,100,1.49116
100,25,1.0,iterated_maximum_matching_unadjusted,3,,98.05369317,91.3884007,1.657458564,0.03724511,0,0.0,100,100,100,1.8253162
100,25,1.0,iterated_maximum_matching_unadjusted,4,,93.85980765,82.22621185,9.793814433,0.481223509,0,0.0,100,100,100,1.5714604
100,25,1.0,iterated_maximum_matching_adjusted,0,,97.6137504,90.44862518,1.607142857,0.044540808,0,0.0,100,100,100,1.75878
100,25,1.0,iterated_maximum_matching_adjusted,1,,99.09779034,94.88752556,0.0,0.0,0,0.0,100,100,100,1.7940972
100,25,1.0,iterated_maximum_matching_adjusted,2,,94.94458395,81.51125402,9.555189456,0.337228107,0,0.0,100,100,100,1.7733966
100,25,1.0,iterated_maximum_matching_adjusted,3,,98.05369317,91.3884007,1.657458564,0.03724511,0,0.0,100,100,100,1.7347399
100,25,1.0,iterated_maximum_matching_adjusted,4,,93.85980765,82.22621185,9.793814433,0.481223509,0,0.0,100,100,100,1.992105
100,25,1.0,TTC_function,0,,97.50193767,87.54789272,6.964285714,0.166677105,0,0.0,100,100,100,0.1482456
100,25,1.0,TTC_function,1,,99.01578194,94.88,0.0,0.0,0,0.0,100,100,100,0.1530715
100,25,1.0,TTC_function,2,,94.96667077,77.33118971,4.989154013,0.147807953,0,0.0,100,100,100,0.1062953
100,25,1.0,TTC_function,3,,97.97005689,90.4296875,4.1015625,0.078297661,0,0.0,100,100,100,0.1440995
100,25,1.0,TTC_function,4,,93.79375464,76.5258216,18.55670103,0.585548064,0,0.0,100,100,100,0.1539366
100,25,1.0,SP_function,0,,97.30570728,88.21428571,3.546099291,0.103416739,0,0.0,100,100,100,0.1649006
100,25,1.0,SP_function,1,,98.89458467,94.88752556,0.0,0.0,0,0.0,100,100,100,0.1893174
100,25,1.0,SP_function,2,,94.77675789,81.51125402,3.036876356,0.137671052,0,0.0,100,100,100,0.1760698
100,25,1.0,SP_function,3,,97.8059583,90.12567325,3.67278798,0.117971359,0,0.0,100,100,100,0.2558617
100,25,1.0,SP_function,4,,93.16321123,73.97260274,8.828006088,0.435823291,0,0.0,100,100,100,0.2409609
200,25,0.0,iterated_maximum_matching_unadjusted,0,,57.36950707,45.59471366,10.63291139,2.700031825,1,1.0,147,193,198,3.0044643
200,25,0.0,iterated_maximum_matching_unadjusted,1,,66.18241282,56.2962963,12.72727273,2.218867838,1,1.0,179,200,200,0.8906995
200,25,0.0,iterated_maximum_matching_unadjusted,2,,57.59715458,46.91075515,13.16397229,2.647680596,1,1.0,171,198,200,0.913193
200,25,0.0,iterated_maximum_matching_unadjusted,3,,57.80979715,47.31182796,10.8490566,2.330545045,1,1.0,193,200,200,0.7984054
200,25,0.0,iterated_maximum_matching_unadjusted,4,,49.882411,37.78625954,14.69465649,4.193247342,1,1.0,152,187,200,0.8113679
200,25,0.0,iterated_maximum_matching_adjusted,0,,57.36950707,45.59471366,10.63291139,2.700031825,1,1.0,147,193,198,0.8824563
200,25,0.0,iterated_maximum_matching_adjusted,1,,66.18241282,56.2962963,12.72727273,2.218867838,1,1.0,179,200,200,0.986577
200,25,0.0,iterated_maximum_matching_adjusted,2,,57.59715458,46.91075515,13.16397229,2.647680596,1,1.0,171,198,200,0.9907615
