num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
3,2,0.2,improved_high_multiplicity_fair_allocation,1,0.0,0,0.035646865999297006
3,2,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007948583999677794
3,2,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.0326119910023408
3,2,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.008937167000112822
3,2,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.03186353099954431
3,2,0.5,solve,0,0.0,0,0.0044397400015441235
3,2,0.5,solve,1,0.0,0,0.004482557000301313
3,2,0.5,improved_high_multiplicity_fair_allocation,0,0.0,0,0.010159436002140865
3,2,0.5,improved_high_multiplicity_fair_allocation,1,0.0,0,0.03340881899930537
3,2,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007988125002157176
3,2,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.03292621299988241
3,2,0.8,high_multiplicity_fair_allocation,0,0.0,0,0.00909330599824898
3,2,0.8,high_multiplicity_fair_allocation,1,0.0,0,0.03047957500166376
3,2,0.8,solve,0,0.0,0,0.003941941002267413
3,2,0.8,solve,1,0.0,0,0.007219772000098601
3,2,0.8,improved_high_multiplicity_fair_allocation,0,0.0,0,0.008696498000063002
3,2,0.8,improved_high_multiplicity_fair_allocation,1,0.0,0,0.03153916899827891
3,2,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.009390944000188028
3,2,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.03371560400046292
3,2,1,high_multiplicity_fair_allocation,0,0.0,0,0.009060311000212096
3,2,1,high_multiplicity_fair_allocation,1,0.0,0,0.03423814800044056
3,2,1,solve,0,0.0,0,0.02705092999894987
3,2,1,solve,1,0.0,0,0.005403007002314553
3,2,1,improved_high_multiplicity_fair_allocation,0,0.0,0,0.008903374000510667
3,2,1,improved_high_multiplicity_fair_allocation,1,0.0,0,0.035595993998867925
3,2,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.009321470999566372
3,2,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.03566709699953208
3,3,0,high_multiplicity_fair_allocation,0,0.0,0,0.03136382899901946
3,3,0,high_multiplicity_fair_allocation,1,0.0,0,0.010111745999893174
3,3,0,solve,0,0.0,0,0.006962089999433374
3,3,0,solve,1,0.0,0,0.004212333999021212
3,3,0,improved_high_multiplicity_fair_allocation,0,0.0,0,0.027651373002299806
3,3,0,improved_high_multiplicity_fair_allocation,1,0.0,0,0.009728798999276478
3,3,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.009605160001228796
3,3,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.010056123999675037
3,3,0.2,high_multiplicity_fair_allocation,0,0.0,0,0.04539435999686248
3,3,0.2,high_multiplicity_fair_allocation,1,0.0,0,0.011583036000956781
3,3,0.2,solve,0,0.0,0,0.04198412500045379
3,3,0.2,solve,1,0.0,0,0.016800362998765195
3,3,0.2,improved_high_multiplicity_fair_allocation,0,0.0,0,0.05280724800104508
3,3,0.2,improved_high_multiplicity_fair_allocation,1,0.0,0,0.011924645998078631
3,3,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.0093316140009847
3,3,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.009635907001211308
3,3,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.04632158299864386
3,3,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.02178777199878823
3,3,0.5,solve,0,0.0,0,0.06497017299989238
3,3,0.5,solve,1,0.0,0,0.0037390600009530317
3,3,0.5,improved_high_multiplicity_fair_allocation,0,0.0,0,0.04796664399691508
3,3,0.5,improved_high_multiplicity_fair_allocation,1,0.0,0,0.023336357000516728
3,3,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.01036612099778722
3,3,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.013125214998581214
3,3,0.8,high_multiplicity_fair_allocation,0,0.0,0,0.01837976899696514
3,3,0.8,high_multiplicity_fair_allocation,1,161.66666666666666,157,0.018848165000235895
3,3,0.8,solve,0,0.0,0,0.008450143999652937
3,3,0.8,solve,1,161.66666666666666,157,0.011121797997475369
3,3,0.8,improved_high_multiplicity_fair_allocation,0,0.0,0,0.018303976001334377
3,3,0.8,improved_high_multiplicity_fair_allocation,1,161.66666666666666,157,0.019630189002782572
3,3,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.009539406000840245
3,3,0.8,second_improved_high_multiplicity_fair_allocation,1,161.66666666666666,157,0.020608681999874534
3,3,1,high_multiplicity_fair_allocation,0,0.0,0,0.05879315099809901
3,3,1,high_multiplicity_fair_allocation,1,162.77887788778878,153.0,0.017097977000958053
3,3,1,solve,0,0.0,0,0.012844725999457296
