num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,3,89.79454086193027,75.40106951871658,10.864197530864203,0.9372554750886838,0,0.0,91,93,96,4.033867500023916
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,4,90.33335646759616,74.64454976303317,17.77251184834124,1.230799674015448,0,0.0,89,91,99,3.873975900001824
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,0,90.5158344536062,73.00884955752213,13.69863013698631,0.7877438080580994,0,0.0,88,93,98,3.719566699990537
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,1,89.89837621296641,73.67021276595744,9.308510638297875,0.4677376802436139,0,0.0,91,96,99,3.862591000040993
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,2,90.21270189717154,75.69444444444444,10.138248847926263,0.5865806218789679,0,0.0,90,94,99,3.7595848999917507
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,3,90.03709402675767,75.40106951871658,19.584569732937695,1.0587800236045097,0,0.0,93,93,97,3.852714599983301
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,4,90.48120525785868,74.64454976303317,17.77251184834124,1.1343379792353572,0,0.0,86,90,99,3.8788499999791384
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,0,83.08298966228597,58.65384615384615,21.173469387755105,5.175516463444387,0,0.0,80,82,82,0.11661899997852743
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,1,82.35585998181666,60.313315926892955,27.616926503340757,4.585563996121624,0,0.0,77,78,78,0.11475009995047003
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,2,81.94004354019924,61.111111111111114,27.34375,3.6760620266941095,0,0.0,83,85,85,0.11461989994859323
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,3,82.10257812259891,64.45012787723785,22.777777777777786,4.578555699395566,0,0.0,82,84,84,0.11460390000138432
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,4,82.92051945810621,57.24815724815725,24.07862407862408,4.505139273857865,0,0.0,84,85,85,0.11973249999573454
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,82.75544841126808,68.84875846501129,10.165484633569733,0.8361502118594166,0,0.0,100,100,100,0.21913310000672936
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,82.06030563121962,64.02116402116403,7.972665148063783,0.9735110771028029,0,0.0,100,100,100,0.22015120001742616
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,81.67980528731563,68.52678571428571,11.750599520383702,1.1928147503335425,0,0.0,100,100,100,0.21970219997456297
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,81.9824332976547,70.09345794392523,8.899297423887589,0.9803620837427751,0,0.0,100,100,100,0.21397979999892414
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,82.47235996309924,67.77251184834124,9.336609336609342,0.9647150399066298,0,0.0,100,100,100,0.21029030001955107
