equal_capacities,category_count,item_capacity_bounds,random_seed_num,binary_valuations,num_of_agents,algorithm,allocation,runtime
True,1,1,0,True,13,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m5'}, 'Agent3': {'m6'}, 'Agent4': set(), 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': {'m4'}, 'Agent9': set(), 'Agent10': {'m2'}, 'Agent11': set(), 'Agent12': {'m1'}, 'Agent13': set()}",0.001753832999384
True,1,1,0,True,13,iterated_priority_matching,"{'Agent1': {'m5'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m1'}, 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': {'m4'}, 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': set(), 'Agent13': set()}",0.0045760729990433
True,1,1,0,True,14,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m4'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m2'}, 'Agent6': {'m1'}, 'Agent7': {'m6'}, 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m3'}, 'Agent13': set(), 'Agent14': set()}",0.0018137660008505
True,1,1,0,True,14,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m4'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m2'}, 'Agent6': {'m1'}, 'Agent7': {'m6'}, 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m3'}, 'Agent13': set(), 'Agent14': set()}",0.0008149290006258
True,1,1,0,True,14,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m4'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m2'}, 'Agent6': {'m1'}, 'Agent7': {'m6'}, 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m3'}, 'Agent13': set(), 'Agent14': set()}",0.0020177909973426
True,1,1,0,True,14,iterated_priority_matching,"{'Agent1': {'m6'}, 'Agent2': {'m3'}, 'Agent3': {'m5'}, 'Agent4': {'m4'}, 'Agent5': {'m2'}, 'Agent6': {'m1'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': set(), 'Agent13': set(), 'Agent14': set()}",0.0159774910025589
True,1,1,0,True,15,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m6'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': set(), 'Agent6': set(), 'Agent7': {'m2'}, 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': {'m3'}, 'Agent11': {'m4'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m5'}}",0.002200917002483
True,1,1,0,True,15,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m6'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': set(), 'Agent6': set(), 'Agent7': {'m2'}, 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': {'m3'}, 'Agent11': {'m4'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m5'}}",0.000815920997411
True,1,1,0,True,15,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m6'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': set(), 'Agent6': set(), 'Agent7': {'m2'}, 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': {'m3'}, 'Agent11': {'m4'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m5'}}",0.0020978920001653
True,1,1,0,True,15,iterated_priority_matching,"{'Agent1': {'m5'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}, 'Agent5': {'m3'}, 'Agent6': {'m1'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': set()}",0.0198174819997802
True,1,1,0,True,16,per_category_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m3'}, 'Agent4': {'m4'}, 'Agent5': {'m6'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}, 'Agent16': set()}",0.0021971000023768
True,1,1,0,True,16,capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m3'}, 'Agent4': {'m4'}, 'Agent5': {'m6'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}, 'Agent16': set()}",0.0008020250024856
True,1,1,0,True,16,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m3'}, 'Agent4': {'m4'}, 'Agent5': {'m6'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}, 'Agent16': set()}",0.0020312259985075
True,1,1,0,True,16,iterated_priority_matching,"{'Agent1': {'m6'}, 'Agent2': {'m5'}, 'Agent3': {'m3'}, 'Agent4': {'m4'}, 'Agent5': {'m1'}, 'Agent6': {'m2'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': set(), 'Agent16': set()}",0.0280115470013697
True,1,1,0,True,17,per_category_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m2'}, 'Agent4': {'m5'}, 'Agent5': set(), 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': {'m4'}, 'Agent15': {'m3'}, 'Agent16': set(), 'Agent17': {'m6'}}",0.00235068999973
True,1,1,0,True,17,capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m2'}, 'Agent4': {'m5'}, 'Agent5': set(), 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': {'m4'}, 'Agent15': {'m3'}, 'Agent16': set(), 'Agent17': {'m6'}}",0.0008856130007188
